Timestamp	Temperature (Â°C)	Humidity (%)	Wind Speed (m/s)	PM2.5 (Âµg/mÂ³)	Rain Intensity (mm/hr)
01-08-2023 00:00	15.11	99.51	0.13	188.9	0
01-08-2023 00:15	15.09	99.53	0.34	188.9	0
01-08-2023 00:30	15.08	99.53	0.28	188.9	0
01-08-2023 00:45	15.04	99.53	0.5	176.55	0
01-08-2023 01:00	14.9	99.54	0.65	172.3	0
01-08-2023 01:15	14.66	99.55	0.72	172.3	0
01-08-2023 01:30	14.62	99.51	0.77	172.3	0
01-08-2023 01:45	14.51	99.5	0.79	172.2	0
01-08-2023 02:00	14.39	99.5	0.77	172.16	0
01-08-2023 02:15	14.22	99.51	0.63	172.16	0
01-08-2023 02:30	13.94	99.53	0.42	172.16	0
01-08-2023 02:45	13.81	99.51	0.54	166.39	0
01-08-2023 03:00	13.81	99.47	0.58	164.41	0
01-08-2023 03:15	13.69	99.46	0.66	164.41	0
01-08-2023 03:30	13.59	99.45	0.49	164.41	0
01-08-2023 03:45	13.56	99.42	0.65	166.55	0
01-08-2023 04:00	13.64	99.38	0.79	167.29	0
01-08-2023 04:15	13.58	99.39	0.54	167.29	0
01-08-2023 04:30	13.41	99.4	0.69	167.29	0
01-08-2023 04:45	13.46	99.39	0.63	160.53	0
01-08-2023 05:00	13.27	99.41	0.5	158.21	0
01-08-2023 05:15	13.3	99.4	0.6	158.21	0
01-08-2023 05:30	13.29	99.38	0.64	158.21	0
01-08-2023 05:45	13.26	99.37	0.49	160.91	0
01-08-2023 06:00	13.22	99.35	0.65	161.83	0
01-08-2023 06:15	13.1	99.4	0.49	161.83	0
01-08-2023 06:30	12.96	99.41	0.7	161.83	0
01-08-2023 06:45	13.01	99.39	0.69	156.92	0
01-08-2023 07:00	13.08	99.4	0.59	155.23	0
01-08-2023 07:15	13.24	99.38	0.66	155.23	0
01-08-2023 07:30	13.54	99.35	0.6	155.23	0
01-08-2023 07:45	13.88	99.3	0.74	156.5	0
01-08-2023 08:00	14.13	99.27	0.83	156.94	0
01-08-2023 08:15	14.52	99.25	0.57	156.94	0
01-08-2023 08:30	15.33	99.18	0.39	156.94	0
01-08-2023 08:45	16.08	99.13	0.42	151.99	0
01-08-2023 09:00	16.33	96.4	0.84	150.29	0
01-08-2023 09:15	16.95	89.82	0.51	150.29	0
01-08-2023 09:30	17.48	83.85	0.39	150.29	0
01-08-2023 09:45	17.94	76.83	0.7	150.18	0
01-08-2023 10:00	18.28	66.77	0.81	150.15	0
01-08-2023 10:15	19.03	59.69	0.58	150.15	0
01-08-2023 10:30	19.51	54.13	0.56	150.15	0
01-08-2023 10:45	20.15	50.4	0.27	151.71	0
01-08-2023 11:00	20.05	50.19	0.88	152.25	0
01-08-2023 11:15	20.48	48.89	0.49	152.25	0
01-08-2023 11:30	20.89	48.11	0.48	152.25	0
01-08-2023 11:45	20.86	48.38	0.89	146.78	0
01-08-2023 12:00	21.02	48.68	0.54	144.91	0
01-08-2023 12:15	21.43	47.8	0.53	144.91	0
01-08-2023 12:30	21.64	47.48	0.61	144.91	0
01-08-2023 12:45	22.11	46.81	0.39	142.69	0
01-08-2023 13:00	22.44	46.33	0.61	141.93	0
01-08-2023 13:15	22.45	46.86	0.85	141.93	0
01-08-2023 13:30	22.66	46.53	0.41	141.93	0
01-08-2023 13:45	22.88	46.81	0.49	135.64	0
01-08-2023 14:00	22.91	47.35	0.48	133.48	0
01-08-2023 14:15	22.6	48.47	0.63	133.48	0
01-08-2023 14:30	22.58	48.68	0.73	133.48	0
01-08-2023 14:45	22.67	49.36	0.58	128.02	0
01-08-2023 15:00	22.64	49.87	0.54	126.15	0
01-08-2023 15:15	22.61	50.57	0.97	126.15	0
01-08-2023 15:30	22.53	50.31	0.7	126.15	0
01-08-2023 15:45	22.48	50.39	0.66	120.01	0
01-08-2023 16:00	22.35	50.98	0.68	117.9	0
01-08-2023 16:15	22.17	52.06	0.53	117.9	0
01-08-2023 16:30	21.93	53.28	0.37	117.9	0
01-08-2023 16:45	21.42	56.45	0.19	112.23	0
01-08-2023 17:00	20.64	60.42	0.07	110.29	0
01-08-2023 17:15	19.96	64.59	0.06	110.29	0
01-08-2023 17:30	19.42	70.9	0.15	110.29	0
01-08-2023 17:45	19.05	76.02	0.12	112.29	0
01-08-2023 18:00	18.99	76.18	0.15	112.97	0
01-08-2023 18:15	19.03	74.31	0.08	112.97	0
01-08-2023 18:30	18.85	75.78	0.09	112.97	0
01-08-2023 18:45	18.89	76.21	0.21	123.51	0
01-08-2023 19:00	18.93	76.19	0.12	127.12	0
01-08-2023 19:15	18.71	79.87	0.1	127.12	0
